PublishStatus,Experiment,Citation,Iteminformation,MetaManipulation,TotParticipants,MetaParticipants,MetaModification,RatingScaleSize,MetaKeymanipulation,MetaStimuli,TotManipulation,TotDesign,TotStimuli,ContainsRT,Trialorderpreserved,Trialsperperson,Confidenceprocedure,Delaytotest
Publish,KY2016_e1,"Koen, J. D., & Yonelinas, A. P. (2016). Recollection, not familiarity, decreases in healthy ageing: Converging evidence from four estimation methods. Memory, 24(1), 75–88. doi:10.1080/09658211.2014.985590",No,Within-subjects (Encoding manipulation),39,39,,6,Encoding manipulation (deep / shallow encoding),Words (2 - 9 letters),Within-subjects (Encoding manipulation),"2 Encoding task (deep, shallow)",Words (2 - 9 letters),No,No,480,confidence,immediate
Publish,LBA2019_e1,"Leynes, P. A., Batterman, A., & Abrimian, A. (2019). Expectations alter recognition and event-related potentials (ERPs). Brain and Cognition, 135, 103573. doi:10.1016/j.bandc.2019.05.011 (Exp 1)",Yes,None,32,32,Only no-instructions blocks,8,,Images of abstract art,Within-subjects (between-block),"3 Bias instructions (No bias, Old-bias, New-bias)",Images of abstract art,Yes,No,300,old/new + confidence,immediate
Publish,LBA2019_e2,"Leynes, P. A., Batterman, A., & Abrimian, A. (2019). Expectations alter recognition and event-related potentials (ERPs). Brain and Cognition, 135, 103573. doi:10.1016/j.bandc.2019.05.011 (Exp 2)",Yes,None,32,32,Only no-instructions blocks,8,,Images of abstract art,Within-subjects (between-block),"3 Bias instructions (No bias, Old-bias, New-bias)",Images of abstract art,Yes,No,300,old/new + confidence,immediate
Publish,LM2020_e1,"Leynes, P. A., & Mok, B. A. (2020). Context influences the FN400 recognition event-related potential. International Journal of Psychophysiology, 158, 16–26. doi:10.1016/j.ijpsycho.2020.09.006",Yes,Within-subjects (between-block),30,30,,6,Type of stimuli,Images of products and abstract patterns,Within-subjects (between-block),"4 Type of stimuli (images of dots, swirls, brands and off-brands)",Images of products and abstract patterns,Yes,Yes,400,old/new + confidence,immediate
Publish,LP2006_e2,"Mulligan, N. W., & Lozito, J. P. (2006). An Asymmetry Between Memory Encoding and Retrieval. Revelation, Generation, and Transfer-Appropriate Processing. Psychological Science, 17(1), 7–11. doi:10.1111/j.1467-9280.2005.01657.x (Exp 2)",No,Between-subjects,48,48,,6,Stimuli-match study-test (intact/anagram),"Words (common, 8 letters)",Between-subjects,"2 Encoding stimulus (Intact, Anagram) x 2 Test stimulus (Intact, Anagram)","Words (common, 8 letters)",No,No,80,confidence,3 minutes
Publish,LP2013_e1,"Lucas, H. D., & Paller, K. A. (2013). Manipulating letter fluency for words alters electrophysiological correlates of recognition memory. NeuroImage, 83, 849–861. doi:10.1016/j.neuroimage.2013.07.039",Yes,Within-subjects (between-block),16,16,,4,"Relatedness of lures (share letters / do not share letters), between-blocks",Words,Within-subjects (between-block),"2 Relatedness of lures (share letters, do not share letters), between-blocks",Words,No,Yes,480,confidence,immediate
Publish,LP2013_e2,"Lucas, H. D., & Paller, K. A. (2013). Manipulating letter fluency for words alters electrophysiological correlates of recognition memory. NeuroImage, 83, 849–861. doi:10.1016/j.neuroimage.2013.07.039",Yes,Within-subjects (between-block),14,14,"Recoded: isold: ""Related_Lures"" = 1",4,"Relatedness of lures (share letters / do not share letters), between-blocks",Words,Within-subjects (within-blocks),"2 Relatedness of lures (share letters, do not share letters), within-block",Words,No,Yes,480,confidence,immediate
Publish,MKG2018_e2,"McAdoo, R. M., Key, K. N., & Gronlund, S. D. (2018). Stimulus effects and the mediation of recognition memory. Journal of Experimental Psychology: Learning, Memory, and Cognition, 44(11), 1814–1823. doi:10.1037/xlm0000550",Yes,Within-subjects (Encoding manipulation),85,85,,6,"Repetition at encoding, within-block",Words,Within-subjects (Encoding manipulation),"2 Repetition at encoding (1 time, 3 times)",Words,No,Yes,200,confidence,five minutes
Publish,MKG2019_e1,"McAdoo, R. M., Key, K. N., & Gronlund, S. D. (2018). Task effects determine whether recognition memory is mediated discretely or continuously.Memory & cognition, 47, 683–695. doi:10.3758/s13421-019-00894-9",Yes,Within-subjects (Encoding manipulation),118,,,6,"Repetition at encoding, within-block",Words,Within-subjects (Encoding manipulation),"2 Repetition at encoding (1 time, 3 times)",Words,No,Yes,200,confidence,five minutes
Publish,NFR2013_e1,"Naber, M., Frassle, S., Rutishauser, U., & Einhauser, W. (2013). Pupil size signals novelty and predicts later retrieval success for declarative memories of natural scenes. Journal of Vision, 13(2), 11–11. doi:10.1167/13.2.11 (Exp 1)",No,None,16,16,,6,,"Images of houses, landscapes, vehicles, phones, animals",None,,"Images of houses, landscapes, vehicles, phones, animals",No,Yes,200,confidence,five minutes
Publish,NFR2013_e2,"Naber, M., Frassle, S., Rutishauser, U., & Einhauser, W. (2013). Pupil size signals novelty and predicts later retrieval success for declarative memories of natural scenes. Journal of Vision, 13(2), 11–11. doi:10.1167/13.2.11 (Exp 2)",No,None,16,16,,6,,"Images of bushes, mountains, mushrooms, water, forests",None,,"Images of bushes, mountains, mushrooms, water, forests",No,Yes,200,confidence,five minutes
Publish,NFR2013_e3,"Naber, M., Frassle, S., Rutishauser, U., & Einhauser, W. (2013). Pupil size signals novelty and predicts later retrieval success for declarative memories of natural scenes. Journal of Vision, 13(2), 11–11. doi:10.1167/13.2.11 (Exp 3)",No,None,16,16,,6,,"Images of houses, landscapes, vehicles, phones, animals",None,,"Images of houses, landscapes, vehicles, phones, animals",No,Yes,200,confidence,20 minutes
Publish,OBD2017_e1,"Osth, A. F., Bora, B., Dennis, S., & Heathcote, A. (2017). Diffusion vs. linear ballistic accumulation: Different models, different conclusions about the slope of the zROC in recognition memory. Journal of Memory and Language, 96, 36–61. doi:10.1016/j.jml.2017.04.003",Yes,Within-subjects (between-block),35,35,Collapsed across word frequency and concreteness manipulation,4,2 Test instructions (speed / accuracy),Words (4 - 7 letters),Within-subjects (between-block),"2 Test instructions (speed / accuracy) x 2 word frequency (high, low) x 2 concreteness (high, low)",Words (4 - 7 letters),Yes,Yes,1536,old/new + confidence,immediate
Publish,OZH2010_e1,"Onyper, S. V., Zhang, Y. X., & Howard, M. W. (2010). Some-or-none recollection: Evidence from item and source memory. Journal of Experimental Psychology: General, 139(2), 341–364. doi:10.1037/a0018926",No,Between-subjects,267,150,Sampled 150 participants.,8,Type of stimuli,Words and images of scenes,Between-subjects,"2 Type of stimuli (words, pictures)",Words and images of scenes,No,No,768,confidence,immediate
Publish,PCM2006_e1,"Prull, M. W., Dawes, L. L. C., Martin, A. M., Rosenberg, H. F., & Light, L. L. (2006). Recollection and familiarity in recognition memory: Adult age differences and neuropsychological test correlates. Psychology and Aging, 21(1), 107–118. doi:10.1037/0882-7974.21.1.107",Yes,Between-subjects,72,72,,6,Age,Words,"Between-subjects (Old, Young)","2 Age (young, old)",Words,Yes,Yes,360,confidence,immediate
Publish,PRM2010_e1,"Pratte, M. S., Rouder, J. N., & Morey, R. D. (2010). Separating mnemonic process from participant and item effects in the assessment of ROC asymmetries. Journal of Experimental Psychology: Learning, Memory, and Cognition, 36(1), 224–232. doi:10.1037/a0017682",Yes,None,97,97,,6,,Words,None,,Words,No,Yes,480,confidence,immediate
Publish,QGM2021_e1,"Quiñones, M., Gómez, D., Montefusco-Siegmund, R., & Aylwin, M. de la L. (2021). Early Visual Processing and Perception Processes in Object Discrimination Learning. Frontiers in Neuroscience, 15. doi:10.3389/fnins.2021.617824",No,Between-subjects,18,18,,6,Study duration,Images of checkerboard-patterns,Between-subjects,"2 Study duration (0.1 second, 1 second)",Images of checkerboard-patterns,Yes,Yes,360,confidence,immediate
Publish,RSP2012_e1,"Reinitz, M. T., Séguin, J. A., Peria, W., & Loftus, G. R. (2012). Confidence–accuracy relations for faces and scenes: Roles of features and familiarity. Psychonomic Bulletin & Review, 19(6), 1085–1093. doi:10.3758/s13423-012-0308-9",Yes,Within-subjects (Encoding manipulation),216,150,"Only scenes blocks, not faces blocks",8,Variable study duration,Images of scenes,Within-subjects ,"6 Variable study duration (16, 32, 64,128,256,512ms) x 2 stimulus domain (scenes, faces)",Images of scenes and faces (between-blocks),No,Yes,192,old/new + confidence,immediate
Publish,RS2009_e1,"Ratcliff, R., & Starns, J. J. (2009). Modeling confidence and response time in recognition memory. Psychological Review, 116(1), 59–83. doi:10.1037/a0014086 (Exp 1)",No,Within-subjects (Within-block),10,10,"Recoded: isold: highF_0 = 0, remainder = 1",6,"Word frequency, within-block",Words (high / low frequency),Within-subjects (Within-block),"2 Word frequency (high, low)",Words (high / low frequency),Yes,Yes,max 4320,confidence,immediate
Publish,RS2009_e2,"Ratcliff, R., & Starns, J. J. (2009). Modeling confidence and response time in recognition memory. Psychological Review, 116(1), 59–83. doi:10.1037/a0014086 (Exp 2)",No,Within-subjects (Within-block),4,4,"Recoded: isold: highF_speed_0 = 0, remainder = 1",6,Word frequency x test instructions (speed / accuracy),Words (high / low frequency),Within-subjects (Within-block),"2 Word frequency (high, low) x test instructions (speed, accuracy)",Words (high / low frequency),Yes,Yes,max 5280,confidence,immediate
NoPublish,RSM2009_e1,"Rudebeck, S. R., Scholz, J., Millington, R., Rohenkohl, G., Johansen-Berg, H., & Lee, A. C. H. (2009). Fornix Microstructure Correlates with Recollection But Not Familiarity Memory. Journal of Neuroscience, 29(47), 14987–14992. doi:10.1523/jneurosci.4707-09.2009",No,Within-subjects (Between-blocks),25,25,,6,Type of stimuli,Images of everyday objects and scenes,Within-subjects (Between-blocks),"2 Type of stimuli (objects, scenes)",Images of everyday objects and scenes,No,Yes,480,confidence,20 minutes
Publish,SB2020_e1,"Spanton, R. W., & Berry, C. J. (2020). The unequal variance signal-detection model of recognition memory: Investigating the encoding variability hypothesis. Quarterly Journal of Experimental Psychology, 73(8), 1242–1260. doi:10.1177/1747021820906117 (Exp 1)",Yes,Within-subjects (between-block),40,40,,6,"Variable study duration, between blocks",Words (7 letters),Within-subjects (between-block),"2 Study duration (fixed, variable)",Words (7 letters),Yes,Yes,520,confidence,immediate
Publish,SB2020_e2,"Spanton, R. W., & Berry, C. J. (2020). The unequal variance signal-detection model of recognition memory: Investigating the encoding variability hypothesis. Quarterly Journal of Experimental Psychology, 73(8), 1242–1260. doi:10.1177/1747021820906117 (Exp 2)",Yes,Within-subjects (between-block),40,40,,6,Variable onset of secondary task,Images of everyday objects,Within-subjects (between-block),Variable distraction task interval duration,Images of everyday objects,Yes,Yes,520,confidence,immediate
Publish,SB2020_e3,"Spanton, R. W., & Berry, C. J. (2020). The unequal variance signal-detection model of recognition memory: Investigating the encoding variability hypothesis. Quarterly Journal of Experimental Psychology, 73(8), 1242–1260. doi:10.1177/1747021820906117 (Exp 3)",Yes,Within-subjects (between-block),40,40,,6,"variable / fixed word frequency, between block","Words (low, high, medium frequency; 5 letters)",Within-subjects (between-block),"variable / fixed word frequency, between block","Words (low, high, medium frequency; 5 letters)",Yes,Yes,400,confidence,immediate
Publish,SBT2018_e1,"Schümann, D., Bayer, J., Talmi, D., & Sommer, T. (2018). Dissociation of immediate and delayed effects of emotional arousal on episodic memory. Neurobiology of Learning and Memory, 148, 11–19. doi:10.1016/j.nlm.2017.12.007",Yes,Within-subjects (Within-block),663,150,"Recoded: isold day1_Neg_0 = 0, remainder = 1. Sampled 150 participants.",6,Valence x Delay To Test,IAPS images,Within-subjects (Within-block),"2 Delay To Test (10 min, 20 hours) x 3 Valence (negative, neutral, positive) x 2 isold (old, new)",IAPS images,No,Yes,240,confidence,"10 minutes, 20 hours"
Publish,SCR2019_e1,"Starns, J. J., Cataldo, A. M., Rotello, C. M., Annis, J., Aschenbrenner, A., Bröder, A., … Wilson, J. (2019). Assessing Theoretical Conclusions With Blinded Inference to Investigate a Potential Inference Crisis. Advances in Methods and Practices in Psychological Science, 2(4), 335–349. doi:10.1177/2515245919869583",Yes,Between-subjects,459,150,Sampled 150 participants,6,Memory strength x bias,Words (high frequency; 3 - 7 letters),Between-subjects,"3 Study repetition (1,2,3) x 3 bias (None, Liberal, Conservative)",Words (high frequency; 3 - 7 letters),Yes,Yes,100,confidence,immediate
Publish,SD2004_e2,"Smith, D. G., & Duncan, M. J. J. (2004). Testing Theories of Recognition Memory by Predicting Performance Across Paradigms. Journal of Experimental Psychology: Learning, Memory, and Cognition, 30(3), 615–625. doi:10.1037/0278-7393.30.3.615",No,None,30,30,,6,,Words,None,,Words,No,No,140,confidence,immediate
Publish,SD2014_e1,"Selmeczy, D., & Dobbins, I. G. (2014). Relating the content and confidence of recognition judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 40(1), 66–85. doi:10.1037/a0034059 (Exp 1)",Yes,None,27,27,,6,,Words,None,,Words,Yes,Yes,400,old/new + confidence,immediate
Publish,SD2014_e2,"Selmeczy, D., & Dobbins, I. G. (2014). Relating the content and confidence of recognition judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 40(1), 66–85. doi:10.1037/a0034059 (Exp 2)",Yes,None,28,28,,6,,Words,None,,Words,Yes,Yes,400,old/new + confidence,immediate
Publish,SHJ2005_e1,"Schwartz, G., Howard, M. W., Jing, B., & Kahana, M. J. (2005). Shadows of the Past: Temporal Retrieval Effects in Recognition Memory. Psychological Science, 16(11), 898–904. doi:10.1111/j.1467-9280.2005.01634.x",Yes,None,91,91,,6,,Images of scenes,None,,Images of scenes,No,Yes,768,confidence,immediate
Publish,SSW2015_e3,"Stark, S. M., Stevenson, R., Wu, C., Rutledge, S., & Stark, C. E. (2015). Stability of age-related deficits in the mnemonic similarity task across task variations. Behavioral neuroscience, 129(3), 257–268. https://doi.org/10.1037/bne0000055",No,,47,,,4,,Words,Mixed,"2 Age (young,old) x 2 lures (related lures, unrelated lures)",Phptographs  of objects,Yes,Yes,193,confidence,immediate
Publish,SWR2012_e1,"Starns, J.J., White, C.N. & Ratcliff, R. The strength-based mirror effect in subjective strength ratings: The evidence for differentiation can be produced without differentiation. Mem Cogn 40, 1189–1199 (2012). https://doi.org/10.3758/s13421-012-0225-1",No,,33,,,20,,Words,Mixed,"2 list composition (pure,mixed) between-subjects x 2 repetition at study (1, 5) within-subjects",,Yes,Yes,288,confidence,immediate
Publish,SWR2012_e2,"Starns, J.J., White, C.N. & Ratcliff, R. The strength-based mirror effect in subjective strength ratings: The evidence for differentiation can be produced without differentiation. Mem Cogn 40, 1189–1199 (2012). https://doi.org/10.3758/s13421-012-0225-1",No,,41,,,20,,Words,Mixed,"2 list composition (pure,mixed) between-subjects x 2 repetition at study (1, 5) within-subjects",,Yes,Yes,288,confidence,immediate
Publish,SWS2011_e1,"Smith, C. N., Wixted, J. T., & Squire, L. R. (2011). The hippocampus supports both recollection and familiarity when memories are strong. Journal of Neuroscience, 31(44), 15693-15702.",Yes,,16,,,20,,Words,None,,Words,No,No,360,confidence,immediate
Publish,TMP2014_e1,"Todd, R. M., Müller, D. J., Palombo, D. J., Robertson, A., Eaton, T., Freeman, N., … Anderson, A. K. (2014). Deletion variant in the ADRA2B gene increases coupling between emotional responses at encoding and later retrieval of emotional memories. Neurobiology of Learning and Memory, 112, 222–229. doi:10.1016/j.nlm.2013.10.008",Yes,Within-subjects (Within-block),275,150,"Recoded: isold: Neg_0 = 0, remainder = 1. Sampled 150 participants.",6,Valence,IAPS images,Within-subjects (Within-block),Valence,IAPS images,No,No,60,confidence,1 week
Publish,TR2017_e1,"Tekin, E., & Roediger, H. L. (2017). The range of confidence scales does not affect the relationship between confidence and accuracy in recognition memory. Cognitive Research: Principles and Implications, 2(1). doi:10.1186/s41235-017-0086-z (Exp 1)",No,None,24,24,Only 8 point confidence scale condition,8,,Words,Between-subjects,"4 Length of uni-directional confidence scale (4, 5, 20, 100)",Words,No,Yes,400,old/new + confidence,5 minutes
Publish,USS2015_e1,"Urgolites, Z. J., Smith, C. N., & Squire, L. R. (2015). True and false memories, parietal cortex, and confidence judgments. Learning & Memory, 22(11), 557–562. doi:10.1101/lm.038349.115",Yes,Within-subjects (Encoding manipulation),18,18,,6,Delay to test,Images of scenes,Within-subjects (Encoding manipulation),"5 Time from encoding (1 hour, 1 day, 1 week, 1 month)",Images of scenes,No,Yes,480,confidence,"1h, 1d, 1w, 1m"
Publish,WHD2018_e1,"Wynn, S. C., Hendriks, M. P. H., Daselaar, S. M., Kessels, R. P. C., & Schutter, D. J. L. G. (2018). The posterior parietal cortex and subjectively perceived confidence during memory retrieval. Learning & Memory, 25(8), 382–389. doi:10.1101/lm.048033.118",Yes,Within-subjects (between-block),20,20,,6,"TMS stimulation, between blocks",Words,Within-subjects (between-block),"2 TMS stimulation between encoding and retrieval (control: vertex, test: angular cyrus), between blocks",Words,No,Yes,1800,old/new + confidence,immediate
Publish,WKH2020_e1,"Wu, Z., Kavanova, M., Hickman, L., Lin, F., & Buckley, M. J. (2020). Similar time course of fast familiarity and slow recollection processes for recognition memory in humans and macaques. Learning & Memory, 27(7), 258–269. doi:10.1101/lm.051342.120 (Exp 1)",No,None,27,27,,6,,Greyscale clip-art images,None,,Greyscale clip-art images,Yes,Yes,180,old/new + confidence,immediate
Publish,WKS2020_e1,"Wynn, S. C., Kessels, R. P. C., & Schutter, D. J. L. G. (2020). Electrocortical indices of subjectively perceived confidence in episodic memory. International Journal of Psychophysiology, 151, 18–24. doi:10.1016/j.ijpsycho.2020.02.007",Yes,None,27,27,,6,,Abstract images,None,,Abstract images,No,Yes,900,old/new + confidence,immediate
Publish,WLH2011_e1,"Weymar, M., Löw, A., & Hamm, A. O. (2011). Emotional memories are resilient to time: evidence from the parietal ERP old/new effect. Human brain mapping, 32(4), 632-640.",Yes,,21,,,20,,IAPS images,Within-subjects (Within-block),"3 valence (negative, neutral, positive) x 2 isold (old, new)",IAPS images,No,Yes,180,old/new + confidence,7 days
Publish,WLM2009_e1,"Weymar, M., Löw, A., Melzig, C. A., & Hamm, A. O. (2009). Enhanced long?term recollection for emotional pictures: Evidence from high?density ERPs. Psychophysiology, 46(6), 1200-1207.",Yes,,30,,,20,,Greyscale and  color IAPS images,Mixed,"2 Color (greyscale, color images) between-subjects x 3 valence (negative, neutral, positive) x 2 isold (old, new) within subjects",Greyscale and  color IAPS images,No,Yes,180,old/new + confidence,7 days
Publish,WMS2012_e1,"Wimber, M., Maaß, A., Staudigl, T., Richardson-Klavehn, A., & Hanslmayr, S. (2012). Rapid Memory Reactivation Revealed by Oscillatory Entrainment. Current Biology, 22(16), 1482–1486. doi:10.1016/j.cub.2012.05.054",Yes,Within-subjects (Encoding manipulation),17,17,,6,Encoding manipulation (blurry / non-blurry items),Words,Within-subjects (Encoding manipulation),"2 Stimuli presentation at encoding (theta: background flicker at 6Hz, alpha: background flicker at 10Hz)",Words,No,Yes,360,confidence,immediate
NoPublish,ZMD2011_e1,"De Zubicaray, G. I., McMahon, K. L., Dennis, S., & Dunn, J. C. (2011). Memory Strength Effects in fMRI Studies: A Matter of Confidence. Journal of Cognitive Neuroscience, 23(9), 2324–2335. doi:10.1162/jocn.2010.21601",Yes,Within-subjects (Encoding manipulation),16,16,,4,Repetition x Attention at encoding,Words (high frequency; 4 - 6 letters),Within-subjects (Encoding manipulation),"3 Repetition (1, 2, 4) x 2 Attention at encoding (Full, Divided)",Words (high frequency; 4 - 6 letters),Yes,Yes,240,confidence,immediate
Publish,ZOL2021_e1,"Zhou, J., Osth, A. F., Lilburn, S. D., & Smith, P. L. (2021). A circular diffusion model of continuous-outcome source memory retrieval: Contrasting continuous and threshold accounts. Psychonomic Bulletin & Review, 28(4), 1112–1130. doi:10.3758/s13423-020-01862-0",Yes,Within-subjects (Within-block),19,19,"Recoded: isold: LowImageability_0 = 0, remainder  = 1",6,Low/High Imageability,"Words (low imageability / concreteness, high imageability / concreteness)",Within-subjects (Within-block),Low/High Imageability,"Words (low imageability / concreteness, high imageability / concreteness)",Yes,Yes,1120,confidence,immediate
Publish,ZSB2021_e1,"Zakrzewski, A. C., Sanders, E. C., & Berry, J. M. (2021). Evidence for age-equivalent and task-dissociative metacognition in the memory domain. Frontiers in psychology, 12, 630143.",No,,49,,,12,,Word pairs,Mixed,"2 Age (Old, Young) between-subjects x 2 test order (recognition first, associate memory first)",Word pairs,Yes,Yes,160,old/new + confidence,immediate
